*Customers / Projects,*Customers / Projects,BIOGENA,CR - IKUNA,,,,,,,,,CR - IKUNA,,,N
*Customers / Projects,*Customers / Projects,BIOGENA,Onboarding,,,,,,,,,Onboarding,,,N
*Customers / Projects,*Customers / Projects,BIOGENA,Projektmanagement,,,,,,,,,Projektmanagement,,,N
*Customers / Projects,*Customers / Projects,BIOGENA,Recruiting,,,,,,,,,Recruiting,,,N
*Customers / Projects,*Customers / Projects,BIOGENA,Support,,,,,,,,,Support,,,N
*Customers / Projects,*Customers / Projects,BUAG,,,,,,,,,,BUAG,,,N
*Customers / Projects,*Customers / Projects,BUAG,Reisezeit CH bis 40 Tage,,,,,,,,,Reisezeit CH bis 40 Tage,,,N
*Customers / Projects,*Customers / Projects,BUAG,SF Support Tranche 2,,,,,,,,,SF Support Tranche 2,,,N
*Customers / Projects,*Customers / Projects,BUAG,SF Support Tranche 3,,,,,,,,,SF Support Tranche 3,,,N
*Customers / Projects,*Customers / Projects,BUAG,Support CH bis 40 Tage,,,,,,,,,Support CH bis 40 Tage,,,N
*Customers / Projects,*Customers / Projects,CA_IMMO,,,,,,,,,,CA_IMMO,,,N
*Customers / Projects,*Customers / Projects,CA_IMMO,Compensation,,,,,,,,,Compensation,,,N
*Customers / Projects,*Customers / Projects,CA_IMMO,Employee Central,,,,,,,,,Employee Central,,,N
*Customers / Projects,*Customers / Projects,CA_IMMO,Gutschrift,,,,,,,,,Gutschrift,,,N
*Customers / Projects,*Customers / Projects,CA_IMMO,Jour Fixe,,,,,,,,,Jour Fixe,,,N
*Customers / Projects,*Customers / Projects,CA_IMMO,Performance & Goals,,,,,,,,,Performance & Goals,,,N
*Customers / Projects,*Customers / Projects,CA_IMMO,Projektmanagement,,,,,,,,,Projektmanagement,,,N
*Customers / Projects,*Customers / Projects,CA_IMMO,Time Off,,,,,,,,,Time Off,,,N
*Customers / Projects,*Customers / Projects,CA_IMMO,Workforce Analytics,,,,,,,,,Workforce Analytics,,,N
*Customers / Projects,*Customers / Projects,CASINOS_AUSTRIA,,,,,,,,,,CASINOS_AUSTRIA,,,N
*Customers / Projects,*Customers / Projects,CASINOS_AUSTRIA,SAP HCM Consulting 03/2022,,,,,,,,,SAP HCM Consulting 03/2022,,,N
*Customers / Projects,*Customers / Projects,CASINOS_AUSTRIA,SAP HCM Consulting 06/2022,,,,,,,,,SAP HCM Consulting 06/2022,,,N
*Customers / Projects,*Customers / Projects,CASINOS_AUSTRIA,SF Employee Central,,,,,,,,,SF Employee Central,,,N
*Customers / Projects,*Customers / Projects,CASINOS_AUSTRIA,SF Foundation,,,,,,,,,SF Foundation,,,N
*Customers / Projects,*Customers / Projects,CASINOS_AUSTRIA,SF Integration,,,,,,,,,SF Integration,,,N
*Customers / Projects,*Customers / Projects,CASINOS_AUSTRIA,SF Projektmanagement,,,,,,,,,SF Projektmanagement,,,N
*Customers / Projects,*Customers / Projects,CASINOS_AUSTRIA,SF Recruiting,,,,,,,,,SF Recruiting,,,N
*Customers / Projects,*Customers / Projects,CASINOS_AUSTRIA,Stundenpool 01/2021,,,,,,,,,Stundenpool 01/2021,,,N
*Customers / Projects,*Customers / Projects,CELEBI,,,,,,,,,,CELEBI,,,N
*Customers / Projects,*Customers / Projects,CELEBI,Diverse,,,,,,,,,Diverse,,,N
*Customers / Projects,*Customers / Projects,CIDEON,,,,,,,,,,CIDEON,,,N
*Customers / Projects,*Customers / Projects,CIDEON,Support,,,,,,,,,Support,,,N
*Customers / Projects,*Customers / Projects,CIDEON,TRV_WF-2016,,,,,,,,,TRV_WF-2016,,,N
